llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
8536509903,85365099,03,Interruptores de navajas con carga.,Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509904,85365099,04,"Seccionadores-conectadores de navajas, sin carga, con peso unitario superior a 2 kg, sin exceder de 2,750 kg.",Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509905,85365099,05,"Interruptores reconocibles como diseñados exclusivamente para radio o televisión, excepto lo comprendido en el número de identificación comercial 8536.50.99.09.",Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509906,85365099,06,"Conmutadores sueltos o agrupados, accionados por botones, con peso hasta de 250 g, o interruptores simples o múltiples de botón o de teclado, reconocibles como diseñados exclusivamente para electrónica, excepto lo comprendido en el número de identificación comercial 8536.50.99.09.",Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509907,85365099,07,Llaves magnéticas (arrancadores magnéticos) con potencia nominal inferior o igual a 200 CP.,Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509908,85365099,08,"Interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como diseñados exclusivamente para uso automotriz.",Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509909,85365099,09,Microinterruptores de botón para aparatos electrodomésticos.,Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509910,85365099,10,Selectores de circuitos.,Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536509999,85365099,99,Los demás.,Kg,0.0,Ex.,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Interruptores para instalaciones domésticas, con tensión nominal mayor 24 V, excepto interruptores para dual, de pie o de jalón para luces; botón de arranque; reconocibles como concebidos exclusivamente para uso automotriz."
8536610400,85366104,00,Portalámparas.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536690200,85366902,00,Tomas de corriente con peso unitario inferior o igual a 2 kg.,Kg,5.0,,0.0,Ex.,"NOM-003-SCFI-2014 Únicamente: Con tensión nominal mayor a 24 V. NOM-028-ENER-2010 Únicamente: De uso general, destinadas a la"
8536699901,85366999,01,Reconocibles para naves aéreas.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536699902,85366999,02,Clavijas.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536699999,85366999,99,Los demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
