llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
0101210100,01012101,00,Reproductores de raza pura.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101290200,01012902,00,"Sin pedigree, para reproducción.",Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101290300,01012903,00,"Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.",Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101299901,01012999,01,Para saltos o carreras.,Pza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101299999,01012999,99,Los demás.,Pza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101300100,01013001,00,Asnos.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101909900,01019099,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102210100,01022101,00,Reproductores de raza pura.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102290100,01022901,00,Vacas lecheras.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102290200,01022902,00,"Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.",Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102299900,01022999,00,Los demás.,Pza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102310100,01023101,00,Reproductores de raza pura.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102399900,01023999,00,Los demás.,Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102909900,01029099,00,Los demás.,Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103100100,01031001,00,Reproductores de raza pura.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103910100,01039101,00,Con pedigree o certificado de alto registro.,Cbza,9.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103919900,01039199,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103920100,01039201,00,Con pedigree o certificado de alto registro.,Cbza,9.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103929900,01039299,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104100100,01041001,00,Con pedigree o certificado de alto registro.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104109901,01041099,01,Para abasto.,Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104109999,01041099,99,Los demás.,Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104200100,01042001,00,Con pedigree o certificado de alto registro.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104200200,01042002,00,Borrego cimarrón.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104209900,01042099,00,Los demás.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105110301,01051103,01,Aves reproductoras de la línea de postura.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105110302,01051103,02,Aves reproductoras de la línea de engorda.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105110303,01051103,03,Aves progenitoras de la línea de engorda.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105110391,01051103,91,Las demás de postura.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105110392,01051103,92,Las demás de engorda.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105119900,01051199,00,Los demás.,Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105120100,01051201,00,Pavos (gallipavos).,Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105130100,01051301,00,Patos.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105140100,01051401,00,Gansos.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105150100,01051501,00,Pintadas.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105940100,01059401,00,Gallos de pelea.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105949900,01059499,00,Los demás.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0105999900,01059999,00,Los demás.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106110100,01061101,00,Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106119900,01061199,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106120100,01061201,00,"Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).",Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106130100,01061301,00,Camellos y demás camélidos (Camelidae).,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106140100,01061401,00,Conejos y liebres.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106190200,01061902,00,Venado rojo (Cervus elaphus); gamo (Dama dama).,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106199901,01061999,01,Perros.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106199999,01061999,99,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106200400,01062004,00,Reptiles (incluidas las serpientes y tortugas de mar).,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106310100,01063101,00,Aves de rapiña.,Pza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106320100,01063201,00,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos).",Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106330100,01063301,00,Avestruces; emúes (Dromaius novaehollandiae).,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106399900,01063999,00,Las demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106410100,01064101,00,Abejas.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106499900,01064999,00,Los demás.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106900200,01069002,00,Lombriz Rebellus (Lumbricus rubellus).,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106900300,01069003,00,Lombriz acuática.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106900400,01069004,00,Ácaros Phytoseiulus persimilis.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0106909900,01069099,00,Los demás.,Pza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0201100100,02011001,00,En canales o medias canales.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0201209100,02012091,00,Los demás cortes (trozos) sin deshuesar.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0201300100,02013001,00,Deshuesada.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0202100100,02021001,00,En canales o medias canales.,Kg,25.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0202209100,02022091,00,Los demás cortes (trozos) sin deshuesar.,Kg,25.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0202300100,02023001,00,Deshuesada.,Kg,25.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203110100,02031101,00,En canales o medias canales.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203120101,02031201,01,Paletas y sus trozos.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203120102,02031201,02,Piernas y sus trozos.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203199900,02031999,00,Las demás.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203210100,02032101,00,En canales o medias canales.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203220101,02032201,01,Paletas y sus trozos.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203220102,02032201,02,Piernas y sus trozos.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0203299900,02032999,00,Las demás.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204100100,02041001,00,"Canales o medias canales de cordero, frescas o refrigeradas.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204210100,02042101,00,En canales o medias canales.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204229100,02042291,00,Los demás cortes (trozos) sin deshuesar.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204230100,02042301,00,Deshuesadas.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204300100,02043001,00,"Canales o medias canales de cordero, congeladas.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204410100,02044101,00,En canales o medias canales.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204429100,02044291,00,Los demás cortes (trozos) sin deshuesar.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204430100,02044301,00,Deshuesadas.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0204500100,02045001,00,Carne de animales de la especie caprina.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0205000100,02050001,00,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206100100,02061001,00,"De la especie bovina, frescos o refrigerados.",Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206210100,02062101,00,Lenguas.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206220100,02062201,00,Hígados.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206299900,02062999,00,Los demás.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206300100,02063001,00,"Pieles de cerdo enteras o en recortes, refrigerados, excepto el cuero precocido en trozos (""pellets"").",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206309900,02063099,00,Los demás.,Kg,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206410100,02064101,00,Hígados.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206490100,02064901,00,"Pieles de cerdo enteras o en recortes, excepto el cuero precocido en trozos (""pellets"").",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206499900,02064999,00,Los demás.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206809100,02068091,00,"Los demás, frescos o refrigerados.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0206909100,02069091,00,"Los demás, congelados.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207110100,02071101,00,"Sin trocear, frescos o refrigerados.",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207120100,02071201,00,"Sin trocear, congelados.",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130401,02071304,01,Mecánicamente deshuesados (pastas).,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130402,02071304,02,Carcasas.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130403,02071304,03,"Piernas, muslos o piernas unidas al muslo.",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130404,02071304,04,Alas y sus partes.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130405,02071304,05,"Pechuga, sus trozos y recortes, con hueso.",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130406,02071304,06,"Filetes de pechuga y pechuga, sus trozos y recortes, sin hueso (deshuesada).",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207130499,02071304,99,Los demás.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207140200,02071402,00,Hígados.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207149901,02071499,01,Mecánicamente deshuesados (pastas).,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207149902,02071499,02,"Piernas, muslos o piernas unidas al muslo.",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207149903,02071499,03,Alas y sus partes.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207149904,02071499,04,"Pechuga, sus trozos y recortes, con hueso.",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207149905,02071499,05,"Filetes de pechuga y pechuga, sus trozos y recortes, sin hueso (deshuesada).",Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207149999,02071499,99,Los demás.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207240100,02072401,00,"Sin trocear, frescos o refrigerados.",Kg,45.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207250100,02072501,00,"Sin trocear, congelados.",Kg,45.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207260301,02072603,01,Mecánicamente deshuesados (pastas).,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207260399,02072603,99,Los demás.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207270200,02072702,00,Hígados.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207279901,02072799,01,Mecánicamente deshuesados (pastas).,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207279999,02072799,99,Los demás.,Kg,75.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207410100,02074101,00,"Sin trocear, frescos o refrigerados.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207420100,02074201,00,"Sin trocear, congelados.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207430100,02074301,00,"Hígados grasos, frescos o refrigerados.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207449100,02074491,00,"Los demás, frescos o refrigerados.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207450100,02074501,00,Hígados.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207459900,02074599,00,Los demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207510100,02075101,00,"Sin trocear, frescos o refrigerados.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207520100,02075201,00,"Sin trocear, congelados.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207530100,02075301,00,"Hígados grasos, frescos o refrigerados.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207549100,02075491,00,"Los demás, frescos o refrigerados.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207550100,02075501,00,Hígados.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207559900,02075599,00,Los demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0207600300,02076003,00,De pintada.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0208100100,02081001,00,De conejo o liebre.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0208300100,02083001,00,De primates.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0208400100,02084001,00,"De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0208500100,02085001,00,De reptiles (incluidas las serpientes y tortugas de mar).,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0208600100,02086001,00,De camellos y demás camélidos (Camelidae).,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0208909900,02089099,00,Los demás.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0209100100,02091001,00,De cerdo.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0209900100,02099001,00,"De gallo, gallina o pavo (gallipavo).",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0209909900,02099099,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210110100,02101101,00,"Jamones, paletas, y sus trozos, sin deshuesar.",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210120100,02101201,00,Tocino entreverado de panza (panceta) y sus trozos.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210199900,02101999,00,Las demás.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210200100,02102001,00,Carne de la especie bovina.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210910100,02109101,00,De primates.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210920100,02109201,00,"De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210930100,02109301,00,De reptiles (incluidas las serpientes y tortugas de mar).,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210990200,02109902,00,"Pieles de cerdo ahumadas, enteras o en recortes.",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0210999900,02109999,00,Los demás.,Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301110100,03011101,00,De agua dulce.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301199900,03011999,00,Los demás.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301910100,03019101,00,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster).",Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301920100,03019201,00,Anguilas (Anguilla spp.).,Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301930100,03019301,00,"Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.).",Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301940100,03019401,00,"Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis).",Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301950100,03019501,00,Atunes del sur (Thunnus maccoyii).,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0301999900,03019999,00,Los demás.,Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302110100,03021101,00,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302130100,03021301,00,"Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302140100,03021401,00,Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302199900,03021999,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302210100,03022101,00,"Fletanes (halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302220100,03022201,00,Sollas (Pleuronectes platessa).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302230100,03022301,00,Lenguados (Solea spp.).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302240100,03022401,00,Rodaballos (turbots) (Psetta maxima).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302299900,03022999,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302310100,03023101,00,Albacoras o atunes blancos (Thunnus alalunga).,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302320100,03023201,00,Atunes de aleta amarilla (rabiles) (Thunnus albacares).,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302330100,03023301,00,Listados (bonitos de vientre rayado) (Katsuwonus pelamis).,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302340100,03023401,00,Patudos o atunes ojo grande (Thunnus obesus).,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302350100,03023501,00,"Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis).",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302360100,03023601,00,Atunes del sur (Thunnus maccoyii).,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302399900,03023999,00,Los demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302410100,03024101,00,"Arenques (Clupea harengus, Clupea pallasii).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302420100,03024201,00,Anchoas (Engraulis spp.).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302430100,03024301,00,"Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302440100,03024401,00,"Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302450100,03024501,00,Jureles (Trachurus spp.).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302460100,03024601,00,Cobias (Rachycentron canadum).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302470100,03024701,00,Peces espada (Xiphias gladius).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302499900,03024999,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302510100,03025101,00,"Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302520100,03025201,00,Eglefinos (Melanogrammus aeglefinus).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302530100,03025301,00,Carboneros (Pollachius virens).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302540100,03025401,00,"Merluzas (Merluccius spp., Urophycis spp.).",Kg,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302550100,03025501,00,Abadejos de Alaska (Theragra chalcogramma).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302560100,03025601,00,"Bacaladillas (Micromesistius poutassou, Micromesistius australis).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302599900,03025999,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302710100,03027101,00,Tilapias (Oreochromis spp.).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302720100,03027201,00,"Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302730100,03027301,00,"Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302740100,03027401,00,Anguilas (Anguilla spp.).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302799900,03027999,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302810100,03028101,00,Cazones y demás escualos.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302820100,03028201,00,Rayas (Rajidae).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302830100,03028301,00,"Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302840100,03028401,00,Róbalos (Dicentrarchus spp.).,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302850100,03028501,00,"Sargos (Doradas, Espáridos) (Sparidae).",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302890100,03028901,00,Totoabas.,Kg,15.0,,0.0,Prohibida,Sin NOM específica en Anexo 2.4.1
0302899900,03028999,00,Los demás.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302910100,03029101,00,"Hígados, huevas y lechas.",Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302920100,03029201,00,Aletas de tiburón.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0302990100,03029901,00,"De Atunes (del género Thunnus), listados o bonitos de vientre rayado (Euthynnus (Katsuwonus) pelamis).",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
